phrase,uri,ms
 حيث امرهم ابوهم ما كان يغني عنهم من الله من شي الا حاجه في نفس يعقوب قضاها وانه لذو علم لما علمناه ولكن اكثر الناس لا يعلمون ولما دخلوا علي يوسف اوي اليه اخاه قال اني انا اخوك فلا تبتس بما كانوا يعملون فلما جهزهم بجهازهم جعل السقايه في رحل اخيه ثم اذن مذن ايتها العير انكم لسارقون قالوا واقبلوا ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,105
 سارقين قالوا فما جزاه ان كنتم كاذبين قالوا جزاه من وجد في رحله فهو جزاه كذلك نجزي الظالمين فبدا باوعيتهم قبل وعا اخيه ثم استخرجها من وعا اخيه كذلك كدنا ليوسف ما كان لياخذ اخاه في دين الملك الا ان يشا الله نرفع درجات من نشا وفوق كل ذي علم عليم قالوا ان يسرق فقد سرق اخ له من قبل ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,105
 الا من وجدنا متاعنا عنده انا اذا لظالمون فلما استياسوا منه خلصوا نجيا قال كبيرهم الم تعلموا ان اباكم قد اخذ عليكم موثقا من الله ومن قبل ما فرطتم في يوسف فلن ابرح الارض حتي ياذن لي ابي او يحكم الله لي وهو خير الحاكمين ارجعوا الي ابيكم فقولوا يا ابانا ان ابنك سرق وما شهدنا الا بما علمنا وما ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,105
 والعير التي اقبلنا فيها وانا لصادقون قال بل سولت لكم انفسكم امرا فصبر جميل عسي الله ان ياتيني بهم جميعا انه هو العليم الحكيم وتولي عنهم وقال يا اسفي علي يوسف وابيضت عيناه من الحزن فهو كظيم قالوا تالله تفتا تذكر يوسف حتي تكون حرضا او تكون من الهالكين قال انما اشكو بثي وحزني الي الله واعلم من الله ما ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,106
 الا القوم الكافرون فلما دخلوا عليه قالوا يا ايها العزيز مسنا واهلنا الضر وجنا ببضاعه مزجاه فاوف لنا الكيل وتصدق علينا ان الله يجزي المتصدقين قال هل علمتم ما فعلتم بيوسف واخيه اذ انتم جاهلون قالوا اانك لانت يوسف قال انا يوسف وهذا اخي قد من الله علينا انه من يتق ويصبر فان الله لا يضيع اجر المحسنين قالوا تالله ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,106
 لا تثريب عليكم اليوم يغفر الله لكم وهو ارحم الراحمين اذهبوا بقميصي هذا فالقوه علي وجه ابي يات بصيرا واتوني باهلكم اجمعين ولما فصلت العير قال ابوهم اني لاجد ريح يوسف لولا ان تفندون قالوا تالله انك لفي ضلالك القديم فلما ان جا البشير القاه علي وجهه فارتد بصيرا قال الم اقل لكم اني اعلم من الله ما لا تعلمون ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,106
 وما الله يريد ظلما للعباد ويا قوم اني اخاف عليكم يوم التناد يوم تولون مدبرين ما لكم من الله من عاصم ومن يضلل الله فما له من هاد ولقد جاكم يوسف من قبل بالبينات فما زلتم في شك مما جاكم به حتي اذا هلك قلتم لن يبعث الله من بعده رسولا كذلك يضل الله من هو مسرف مرتاب الذين يجادلون ,0001Quran.Mushaf.Tanzil001-ara1.mARkdown,204
 علي فخره سبحان من علقمه الفاخر قال يا ابن عباس اخبرني عن قول الله عز وجل قد شغفها حبا قال الشغاف في القلب في النياط يقول امتلا قلبها من حب يوسف قال وهل تعرف العرب ذلك قال نعم اما سمعت نابغه بني ذبيان وهو يقول وفي الصدر رحب دون ذلك داخل دخول الشغاف غيبته الاضالع قال يا ابن عباس اخبرني ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,72
 صحيح ورواه من طريق سلمه بن كهيل عن ابن مسعود احمد في الفضال برقم وبرقم اخرجه الترمذي برقم اخرجه احمد برقم انظر احيا علوم الدين الاعلام سوره الانبيا الايه سوره يوسف الايه اخرج الزبير بن بكار في الموفقيات من طريق الكلبي عن ابي صالح عن ابن عباس رضي الله عنهم ان معاويه قال له يوما اني قد ضربتني امواج القران ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,80
 سوره الماده الايه سوره النسا الايه سوره الاحزاب الايه ترجمه الامام علي عليه السلام تاريخ ابن عساكر سوره النسا الايه سوره الاحزاب الايه سوره الزخرف الايه سوره الانعام الايه وسوره يوسف الايه سوره الماده الايه سوره الاحزاب الايه ترجمه الامام علي عليه السلام تاريخ ابن عساكر امالي المرشد بالله جامع البيان المستطرف في كل فن مستظرف الاعلام البرهان في علوم ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,81
 اخرجها والكلام علي التمثيل الكثكث التراب والحجاره السغب الجوع او الجوع مع التعب شرح نهج البلاغه الناموس الحاذق شرح نهج البلاغه لعله سعيد سوره الحج الايه شرح نهج البلاغه سوره يوسف الايه شرح نهج البلاغه في شرح النهج الي وما اثبت اجتهاد شرح نهج البلاغه العرام الشراسه والشده شرح نهج البلاغه شرح نهج البلاغه المردي يطلق علي الرجل الشجاع فيقال ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,83
 الانعام الايه لم اقف عليه سوره الانعام الايه ديوانه مع اختلاف في الروايه سوره الانعام الايه لم اقف عليه سوره القلم الايه البيت لزهير بلفظ بكرت عليه غدوه فرايته سوره يوسف الايه لم اقف عليه سوره الاسرا الايه لم اقف عليه سوره النمل الايه لم اقف عليه سوره النسا الايه لم اقف عليه سوره البقره الايه لم اقف عليه سوره ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,86
 سوره الاسرا الايه لم اقف عليه سوره هود الايه لم اقف عليه سوره هود الايه لم اقف عليه سوره هود الايه في ديوانه سوره هود الايه لم اقف عليه سوره يوسف الايه لم اقف عليه سوره هود الايه البيت لبشر الاسدي ديوانه قاله يهجو اوس بن حارثه سوره الهمزه الايه لم اقف عليه سوره فصلت الايه البيت لاميه بن ابي ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,86
 لم اجده في ديوانه سوره طه الايه لم اقف عليه سوره طه الايه لم اقف عليه سوره الحج الايه الايدان جناحا الجيش سوره الذاريات الايه لم اجده في ديوانه سوره يوسف الايه لم اقف عليه سوره الماعون الايه لم اجده في ديوانه سوره المزمل الايه البيت للحطيه ديوانه بلفظ نفاطير وسمي روا جذورها طباهن حتي اطفل الليل دونها سوره النمل ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,87
 عمرو بن هند واخاه قابوس بلفظ فاما يومهن فيوم نحس تطاردهن بالحدب الصقور سوره يونس الايه لم اقف عليه لم اقف عليه سوره ال عمران الايه لم اقف عليه سوره يوسف الايه ديوان الاعشي بلفظ له درمك في راسه ومشارب ومسك وريحان وراح تصفق سوره النسا الايه ديوان عمرو بن كلثوم من المعلقه سوره الماده الايه ديوان امر القيس من ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,89
 القمر الايه ديوان زهير بلفظ سوا عليه اي حين اتيته سوره ص الايه ديوان الاعشي سوره الاسرا الايه ديوان الاعشي بلفظ اقول لما جاني فجره سبحان من علقمه الفاجر سوره يوسف الايه ديوان النابغه الذبياني بلفظ وقد حال هم دون ذلك شاغل مكان الشغاف تبتغيه الاصابع سوره النبا الايه لم اقف عليه سوره الاسرا الايه لم اقف عليه سوره الحاقه ,0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1,89
 ابو عبد الله الشيرازي اخبرنا ابو بكر الجرجراي اخبرنا ابو احمد البصري قال حدثني احمد بن محمد بن عمر بن يونس قال حدثني بشر بن المفضل النيسابوري عن عيسي بن يوسف الهمداني عن ابي الحسن بن يحيي قال حدثني ابان بن ابي عياش قال حدثني سليم عن امير الممنين عليه السلام وروي الحسكاني في شواهد التنزيل ج ص ح قال ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,13
 ج ص عن الحسين بن سعيد عن حماد بن عيسي عن عمرو بن شمر عن جابر عن ابي جعفر عليه السلام وروي الطبرسي في اعلام الوري ص وروي جمال الدين يوسف بن حاتم الشامي في الدر النظيم في مناقب الامه اللهاميم حدث عبد الرحمن بن حجاج عن ابي عبد الله عليه السلام وعمن رواه عن عمرو بن شمر عن جابر ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,16
 العلوم وقال في موضع اخر كتاب معروف بين المحدثين اعتمد عليه الكليني والصدوق وغيرهما من القدما واكثر اخباره مطابقه لما روي بالاسانيد الصحيحه في الاصول المعتبره وقال مثل ذلك الشيخ يوسف البحراني في الدرر النجفيه المولي حيدر علي الشيرواني وبذلك يعلم صحه كتاب سليم بن قيس الهلالي فانه ورد من طرق عديده حسنه وصحيحه عن ثقات اصحاب الامه عليهم السلام ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,21
 الامام الرضا عليه السلام له كتب كثيره الشيخ الثقه الجليل الزاهد ابو محمد الحسن بن علي بن فضال التيملي الكوفي المتوفي من خواص الامام الرضا عليه السلام الثقه الصدوق ابو يوسف يعقوب بن يزيد السلمي من اصحاب الامام الرضا والجواد والهادي عليهم السلام وهو صاحب كتب شيخ مشايخ الشيعه والمتقدم فيهم ابو الحسن علي بن يحيي السلماني من اصحاب الامام ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,27
 الموسوي الحاري الشيخ المدقق العلامه نجم الدين ابو القاسم جعفر بن الحسن بن يحيي بن سعيد المعروف بالمحقق الحلي المتوفي وهو صاحب مصنفات كثيره الفاضل الفقيه العابد الشيخ جمال الدين يوسف بن حاتم بن فوز بن مهند الدمشقي العاملي المتوفي جمال الدين محمد بن احمد الموصلي الحنفي الشهير بابن حسنويه المتوفي المحدث الثقه والمرخ العلامه ابو الحسن علي بن عيسي ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,32
 ابو اسحاق ابراهيم بن سعد الدين محمد بن محمد بن حمويه الجويني المعروف بالحموي المتوفي وهو من اعظم محدثي العامه وحفاظهم الشيخ المحقق العلامه جمال الدين ابو منصور الحسن بن يوسف بن علي بن مطهر الشهير بالعلامه الحلي المتوفي العالم الوجيه والمحدث النبيه ابو محمد الحسن بن ابي الحسن الديلمي من اعلام القرن الثامن الهجري المحدث علي بن شهاب الدين ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,32
 بها الدين محمد بن تاج الدين المعروف بالفاضل الهندي المتوفي العلامه المحقق والمحدث المتبحر السيد مير محمد اشرف بن عبد الحسيب العاملي المتوفي وهو سبط المحقق الداماد المحدث المتبحر الشيخ يوسف البحراني المتوفي العالم المتتبع الخبير المحدث الشيخ عبد الله بن نور الدين البحراني تلميذ العلامه المجلسي المحقق الرجالي الخبير ابو علي محمد بن اسماعيل الحاري المتوفي وهو تلميذ الوحيد ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,34
 العمران في لاهور في باكستان جا في اولها تلخيص مقدمه الطبعه النجفيه ثم ترجمه المتن طبقا للطبعه النجفيه ولم يورد مستدركات احاديث سليم ترجمه كتاب سليم بالانكليزيه قام السيد علي يوسف بترجمه كتاب سليم مع مقدمه مختصره الي الانكليزيه تحت عنوان وقام بطبعها مسسه اپن اسكول بشيكاغو في امريكا في سنه في صفحه في القطع الرحلي النماذج المصوره نقدم في ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,62
 قال اخبرنا محمد بن احمد بن محمد الحافظ اخبرنا عبد العزيز بن يحيي بن احمد قال حدثني احمد بن محمد بن عمير قال حدثني بشر بن المفضل عن عيسي بن يوسف عن ابي الحسن علي بن يحيي عن ابان بن ابي عياش عن سليم بن قيس الهلالي عن علي عليه السلام ان الله تعالي ايانا عني بقوله لتكونوا شهدا علي ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,266
 وجعل نسا اهل القادسيه علي ماتين ثم سوي بين النسا بعد ذلك وكان ذلك في سنه للهجره راجع الكتب تاريخ اليعقوبي ج الصفحه تاريخ اليعقوبي ج ص وكتاب الخراج لابي يوسف ج ص روي في البحار ج طبع قديم ص عن الامام الصادق عليه السلام ان بني تغلب من نصاري العرب انفوا واستنكفوا من قبول الجزيه وسالوا عمر ان يعفيهم ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,317
 ب نار اي تضطرب سوره الاسرا الايه ج عني الله في كتابه فلم يدع ايه نزلت فيهم من الكتب القران القران الا ذكرها سوره النسا الايه سوره سبا الايه سوره يوسف الايه سوره ص الايه سوره هود الايه وقوله يقول لنوح اي قال لقصه نوح مع قومه لا ان الخطاب الي نوح سوره طه الايه سوره الاعراف الايه سوره طه ,0085SulaymIbnQaysHilali.KitabSulaym.Shia001265-ara1,335
 يزيد فاني لست ناسيه حتي يغيبني في الرمس ملحود جزاك ربك عن مستفرد وحد نفاه عن اهله جرم وتشريد مستشرف قد رماه الناس كلهم كانه من سموم الصيف سفود جزا يوسف احسانا ومغفره او مثل ما جزي هارون وداود اعطاه من لذه الدنيا واسكنه في جنه نعمه فيها وتخليد فما يزال جدا نعماك يمطرني وان نايت وسيب منك مرفود هل ,0090AkhtalShacir.Diwan.JK007544-ara1,13
 ظلم تكاد بها الهداه تجور الفاخرون بكل يوم صالح واخو المكارم بالفعال فخور فعليك بالحجاج لا تعدل به احدا اذا نزلت عليك امور ولقد علمت وانت اعلمنا به ان ابن يوسف حازم منصور واخو الصفا فما تزال غنيمه منه يجي بها اليك بشير وتري الرواسم يختلفن وفوقها ورق العراق سباك وحرير وبنات فارس كل يوم تصطفي يعلونهن وما لهن مهور ,0090AkhtalShacir.Diwan.JK007544-ara1,23
 الايه واللذان ياتيانها منكم الخ باتيان الرجل والايه واللاتي ياتين الفاحشه من نساكم الخ بالسحاق والايه الزانيه والزاني فاجلدوا كل واحد منهما الخ بالزني قال ابو عبد الله محمد بن يوسف بن حيان الاندلسي الشهير بابي حيان في تفسيره الكبير المسمي بالبحر المحيط في التفسير الايه واللاتي ياتين الفاحشه من نساكم فاستشهدوا عليهن اربعه منكم الي اخرها والفاحشه هنا الزنا ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,16
 صاحب الحرث فولد ادم كلهم من ولد ذلك الكافر انا عبد الرحمن قال ثنا ابراهيم قال ثنا ادم قال ثنا حماد بن سلمه عن علي بن زيد بن جدعان عن يوسف بن مهران عن ابن عباس قال امر ادم ان يزوج انثي هذا البطن من ذكر ذاك البطن وانثي ذاك البطن من ذكر هذا البطن انا عبد الرحمن قال ثنا ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,76
 للجنه وخلقا للنار انا عبد الرحمن ثنا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد في قوله وجاك في هذه الحق يعني في هذه السوره تفسير سوره يوسف عليه السلام بسم الله الرحمن الرحيم اخبرنا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد في قوله عز وجل نرتع قال يحفظ بعضنا ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,114
 قال احد عشر رجلا منهم باعوه حين اخرج المدلي دلوه واسروه بضاعه يعني صاحب الدلو ومن معه قالوا لاصحابهم انما استبضعناه خيفه ان يستشركوهم فيه ان علموا بثمنه واتبعهم اخوه يوسف يقولون للمدلي واصحابه استوثقوا منه لا يابق حتي اوقفوه بمصر فقال يوسف حين اوقفوه من يبتاعني ويبشر فاشتراه الملك وهو مسلم انا عبد الرحمن نا ابراهيم نا ادم نا ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,115
 الشاهد والشاهد ان كان مشقوقا من دبره فتلك الشهاده انا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد قد شغفها حبا قال دخل حب يوسف في شغافها انا عبد الرحمن نا ابراهيم نا ادم ثنا ورقا عن حصين عن مجاهد عن ابن عباس في قوله واعتدت لهن متكا قال هو الاترج انا عبد الرحمن ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,115
 عن مجاهد وقطعن ايديهن حزا حزا بالسكاكين انا عبد الرحمن ثنا ابراهيم ثنا ادم نا ورقا عن حصين عن مجاهد عن ابن عباس في قوله وقطعن ايديهن قال لما راين يوسف جعلن يقطعن ايديهن وهن يحسبن انهن يقطعن الاترج انا عبد الرحمن ثنا ابراهيم ثنا ادم نا ورقا عن ابن ابي نجيح عن مجاهد اكبرنه يعني اعظمنه انا عبد الرحمن ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,116
 ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد في قوله نبنا بتاويله يعني تاويل ما راينا فلما عبر لهما قالا ما راينا ريا انما كنا نلعب فقال يوسف قضي الامر الذي فيه تستفتيان قد وقعت الريا علي ما اولت انبا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد وقال للذي ظن ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,116
 نفس يعقوب قضاها قال خيفه العين علي بنيه انا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد قال السقايه هو الصواع كان يشرب فيه يوسف وهما واحد اخبرنا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد ولمن جا به حمل بعير قال يعني حمل حمار طعاما وهي لغه ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,117
 ايتها العير انكم لسارقون اخبرنا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد في قوله ان يسرق فقد سرق اخ له من قبل يعنون يوسف انا عبد الرحمن نا ابراهيم ثنا ادم نا ورقا عن ابن ابي نجيح عن مجاهد انتم شر مكانا والله اعلم بما تصفون يعني بما يقولون وهذا قول يوسف عليه ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,117
 نجيح عن مجاهد وما كنا للغيب حافظين اي لم نشعر انه سيسرق انا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد يا اسفي علي يوسف يقول يا جزعا علي يوسف انا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد فهو كظيم يعني كظيم الحزن اي شديد الحزن انا ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,118
 عبد الرحمن نا ابراهيم نا ادم نا المبارك بن فضاله عن الحسن في قوله قد اتيتني من الملك وعلمتني من تاويل الاحاديث الي قوله توفني مسلما والحقني بالصالحين قال ان يوسف القي في الجب وهو ابن سبع عشره سنه وغاب عن ابيه ثمانين سنه وعاش بعد ما لقي اباه وجمع الله له شمله وراي تاويل رياه ثلاث وعشرين سنه ومات ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,118
 الرسل كذبوهم جا الرسل نصرنا انا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد في قول لقد كان في قصصهم عبره يعني في قصص يوسف واخوته تفسير سوره الرعد بسم الله الرحمن الرحيم اخبرنا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد الذي رفع السماوات بغير عمد ترونها ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,119
 مجاهد هبا منثورا قال هو شعاع الشمس من الكوه اخبرنا عبد الرحمن قال نا ابراهيم قال نا ادم قال ثنا حماد بن سلمه عن علي بن زيد بن جدعان عن يوسف بن مهران عن ابن عباس في قول الله عز وجل ويوم تشقق السما بالغمام ونزل الملاكه تنزيلا قال ينزل اهل السما الدنيا وهم اكثر ممن في الارض من الجن ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,165
 السحره سبعه عشر الفا اصبحوا كفارا وامسوا شهدا انبا عبد الرحمن نا ابراهيم نا ادم نا اسرايل عن ابي اسحاق الهمذاني عن ابي عبيده عن ابن مسعود قال خرج اهل يوسف من مصر وهم ستماه الف وسبعون الفا فقال فرعون ان هلا لشرذمه قليلون انا عبد الرحمن نا ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد قال ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,168
 ابراهيم نا ادم نا ورقا عن ابن ابي نجيح عن مجاهد في قوله فاتبعوهم مشرقين قال خرج اصحاب موسي ليلا وكسف القمر تلك الليله واظلمت الارض فقال اصحاب موسي ان يوسف صلي الله عليه وسلم اخبرنا اننا سننجي من فرعون واخذ علينا العهد لنخرجن بعظامه معنا فخرج موسي من ليلته يسال عن قبره فوجد عجوزا بيتها علي قبر يوسف فسالها ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,169
 عليها موسي فالقاها في فيه فقالت امراه فرعون الم اقل لك انه لا يعقل قال وكان ايمان امراه فرعون من قبل امراه خازن فرعون وكان ايمان خازن فرعون من اثر يوسف وان امراه خازن فرعون مشطت ابنه فرعون يوما فوقع منها المشط فقالت تعس من كفر بالله فقالت لها بنت فرعون الك رب غير ابي فقالت ربي ورب ابيك وربك ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,176
 في قوله فاقبلوا اليه يزفون يعني النسلان في المشي انا عبد الرحمن قال نا ابراهيم قال نا ادم قال نا المبارك بن فضاله عن علي بن زيد بن جدعان عن يوسف بن مهران عن ابن عباس قال الذبيح اسماعيل وهو قوله فبشرناه بغلام حليم يعني اسماعيل انا عبد الرحمن قال ثنا ابراهيم قال نا ادم قال نا المبارك بن فضاله ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,199
 الوتر من القوس يعني ربه من جبريل عليه السلام انبا عبد الرحمن قال ثنا ابراهيم قال ثنا ادم قال ثنا المبارك بن فضاله عن علي بن زيد بن جدعان عن يوسف بن مهران عن ابن عباس ما كذب الفاد ما راي قال راي ربه عز وجل بفاده انبا عبد الرحمن قال ثنا ابراهيم قال نا ادم قال ثنا اسرايل عن ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,230
 تفسير سوره انا ارسلنا نوحا بسم الله الرحمن الرحيم اخبرنا عبد الرحمن قال ثنا ابراهيم قال ثنا ادم قال ثنا حماد بن سلمه عن علي بن زيد بن جدعان عن يوسف بن مهران عن ابن عباس في قوله وجعل القمر فيهن نورا قال القمر وجهه الي السماوات وقفاه الي اهل الارض انبا عبد الرحمن قال ثنا ابراهيم قال ثنا ادم ,0104MujahidIbnJabr.Tafsir.Shia002456Vols-ara1,251
 جماعه علي فتيه تلقي البنين نساها فما اغمدا حتي انابت قلوبهم وسمح للضرب الشامي دماها لنعم مناخ القوم حلوا رحالهم الي قبه فوق الوليد سماها نباها ابو العاصي ومروان فوقه ويوسف قد مس النجوم بناها فان يبعث المهدي لي ناقتي التي يهيج لاصحابي الحنين بكاها وان يبعثوها بالنجاح فقد مشت اليكم علي حوب وطال ثواها وان عليها ان رات من ,0110Farazdaq.Diwan.ShamAY0037829-ara1,2
